a,一個
memory,記憶
act,做
performance,性能
quote,報價
story,故事
options,選項
sell,賣
language,語言
body,身體
experience,經驗
create,創造
student,學生
social,社會的
side,邊
important,重要
few,少
club,俱樂部
gift,禮物
young,年輕
password,密碼
field,田
girls,女孩
night,晚上
something,東西
road,路
paper,紙
ca,加州
additional,附加
question,問題
east,東
texas,德克薩斯州
oct,10月
activities,活動
america,美洲
pay,支付
changes,變化
hard,硬
four,四
example,例
age,年齡
single,單
ii,第二
latest,最近的
war,戰爭
court,法院
result,結果
groups,組
al,鋁
write,寫
event,事件
light,光
browse,流覽
audio,音訊
always,總是
offer,提供
february,二月
poker,撲克
building,建築
range,範圍
files,檔
issue,問題
request,請求
release,釋放
status,地位
blue,藍
nov,11月
easy,容易
analysis,分析
given,鑒於
fax,傳真
seller,賣方
making,製作
china,中國
possible,可能
committee,委員會
enter,進入
major,主要
future,前途
problems,問題
washington,華盛頓
picture,圖片
needs,需要
might,可能
star,星
hand,手
areas,地區
professional,專業的
interest,利息
yet,還
meeting,會議
become,成為
keep,保持
london,倫敦
id,編號
rss,。.rss
sun,太陽
california,加州
cards,卡
space,空間
child,孩子
share,共用
month,月
porn,色情
garden,花園
welcome,歡迎
put,放
baby,嬰兒
listed,上市
companies,公司
reference,參考
similar,類似
added,添加
delivery,交貨
learning,學習
net,網
schools,學校
energy,能源
reports,報告
stories,故事
computers,計算機
central,中央
co,公司
film,影片
try,嘗試
term,術語
run,跑
journal,雜誌
popular,流行
president,總統
notice,通知
god,神
images,圖像
million,百萬
track,跟蹤
away,離開
agreement,協定
friends,朋友
edition,版
color,顏色
cell,細胞
radio,收音機
original,源語言
self,自我
australia,澳大利亞
once,一次
archive,檔案
discussion,討論
entertainment,娛樂
until,直到
others,別人
head,頭
sure,確定
council,理事會
faq,常見問題
safety,安全
trade,貿易
society,社會
log,。.log
format,格式
least,最小
cars,汽車
months,月份
includes,包括
messages,消息
updated,更新
tell,告訴
several,幾個
association,協會
provides,提供
ask,問
sep,九月
marketing,行銷
fun,樂趣
feb,2月
living,生活
having,擁有
drive,駕駛
already,已經
green,綠
able,能
further,進一步
arts,藝術
close,關閉
studies,研究
david,大衛
gold,金
display,顯示
specific,特定
short,短
common,常見
called,叫
collection,收集
lot,很多
solutions,解決方案
limited,有限
says,說
technical,專門的
beach,海灘
past,過去
et,等
natural,自然的
director,導演
whether,是否
means,方法
daily,日常
land,土地
electronics,電子學
official,官方
upon,後
done,做
weather,天氣
period,時期
mar,三月
due,由於
average,平均
five,五
planning,規劃
region,地區
window,窗
database,資料庫
pro,親
france,法國
powered,動力
environment,環境
ever,曾
sound,聲音
document,公文
conference,會議
costs,成本
island,島
st,聖
calendar,日曆
records,記錄
microsoft,微軟
district,區
record,記錄
direct,直接
statement,陳述
url,網址
style,風格
front,前面
resource,資源
present,目前
applications,應用
parts,部件
early,早
miles,英里
ago,前
downloads,下載
either,也
word,詞
update,更新
aug,八月
finance,金融
rock,岩石
material,材料
hosting,好客
talk,說話
final,最後
bill,法案
via,通過
federal,聯邦
thing,東西
rules,規則
nude,裸
apr,四月
works,工程
adult,成人
gifts,禮物
reading,讀數
centre,中心
else,還
tickets,票
true,真
europe,歐洲
requirements,要求
cheap,便宜
topics,主題
third,第三
written,寫
kids,孩子
mark,馬克
minutes,紀要
tips,技巧
bad,壞
cover,蓋
unit,單位
together,一起
usually,通常
far,遠
germany,德國
individual,個人
plus,加
global,全球
fact,事實
fast,快
en,zh
function,功能
economic,經濟
auto,自動
meet,遇
subscribe,訂閱
percent,百分之
videos,視頻
lyrics,歌詞
tech,技術
edit,編輯
amount,量
player,選手
submit,提交
projects,專案
getting,得到
often,經常
bank,岸
heart,心
advertising,廣告
james,詹姆斯
included,包括
risk,風險
though,雖然
everything,萬事
archives,檔案
newsletter,通訊
commercial,商業
words,的話
production,生產
thanks,謝謝
treatment,治療
magazine,雜誌
received,收到
town,鎮
knowledge,知識
choose,選擇
weight,重量
watch,看
deals,交易
feel,感覺
camera,照相機
jul,七月
points,點
error,錯誤
various,各種
linux,Linux瀏覽器
currently,現在
jun,六月
girl,女孩
receive,收到
protection,保護
models,模型
chapter,章
loan,貸款
construction,建設
golf,高爾夫球
methods,方法
registered,註冊
domain,域
toys,玩具
taken,採取
policies,政策
makes,使
india,印度
beauty,美
manager,經理
position,位置
clear,清楚
wide,寬
sort,排序
listings,清單
known,已知
michael,邁克爾
cases,例
step,步
half,半
none,沒有
engineering,工程
whole,整個
corporate,企業
simple,簡單
wireless,無線電
paul,保羅
quick,快
friday,星期五
florida,佛羅里達州
lake,湖
annual,年刊
license,許可證
basic,基本
sony,索尼
shows,顯示
published,發表
hardware,硬體
response,回應
google,谷歌
later,後
customers,客戶
church,教堂
method,方法
practice,實踐
materials,材料
fire,火災
active,積極
figure,數位
purchase,購買
among,中
effects,影響
holiday,假期
chat,聊天
designed,設計
enough,足夠
speed,速度
writing,寫作
remember,記得
death,死亡
countries,國家
along,沿
loss,損失
standards,標準
political,政治
kingdom,王國
face,臉
html,。.html
brand,品牌
oil,油
higher,高等
created,創建
yellow,黃色
discount,折扣
increase,增加
base,基礎
bit,位
environmental,環境的
near,近
advertise,做廣告
shoes,鞋
loans,貸款
nature,自然界
stuff,東西
oh,哦
turn,轉
doing,行為
french,法語
european,歐洲人
mean,意味著
thought,思想
availability,可用性
stay,留
pics,圖片
summary,總結
western,西方
monday,星期一
agency,機構
drug,葯
growth,成長
orders,訂單
notes,筆記
japan,日本
africa,非洲
king,王
entry,進入
although,雖然
storage,存儲
activity,活動
copy,複製
port,港口
overall,整體
cash,現金
bay,灣
income,收入
employment,就業
force,力
ad,廣告
contents,內容
build,建
screen,螢幕
river,河
institute,研究所
double,雙
administration,管理
supplies,用品
seen,明顯
engine,發動機
plans,計劃
views,視圖
players,球員
commission,委員會
started,開始
package,包
regional,地域
bar,酒吧
dog,狗
exchange,交換
stop,停
album,影集
types,類型
lines,線
anything,什麼
organization,組織
mind,介意
selection,選擇
electronic,電子的
sponsored,贊助
eur,歐元
believe,相信
benefits,好處
ny,紐約
printer,印表機
continue,繼續
season,季節
effective,有效
asked,問
needed,需要
someone,有人
held,舉行
condition,條件
effect,影響
sunday,星期日
lost,失去
tour,旅遊
across,橫
apply,應用
soon,很快
pdf,。.pdf
casino,賭場
volume,卷
cross,渡
mortgage,抵押
mature,成熟
weeks,星期
menu,功能表
silver,銀
hope,希望
inside,裡面
lower,降低
anyone,任何人
wish,希望
addition,加法
running,運行
necessary,必要
nothing,無
supply,供應
jewelry,珠寶
dc,直流
union,聯盟
clothing,服裝
executive,執行的
rather,而
came,來
corporation,公司
solution,溶液
role,角色
according,根據
certain,一定
usr,烏斯爾
leave,離開
bid,出價
islands,島嶼
sellers,賣家
zip,。.zip
gas,氣
skills,技能
names,名字
mon,星期一
six,六
particular,特定
rental,租賃
robert,羅伯特
com,。.com
career,生涯
homepage,主頁
sat,坐
bush,灌木
military,軍事
huge,巨大
teens,青少年
facilities,設施
pre,前
kind,類
woman,女人
hour,小時
decision,決定
fine,好
advice,建議
british,英國的
division,劃分
coming,來
lesbian,女同
length,長度
score,得分
follow,跟隨
sent,送
opportunities,機會
move,移動
machine,機器
object,物件
logo,商標
returns,返回
taking,服用
statistics,統計學
sample,樣本
investment,投資
cable,電纜
capital,資本
appropriate,適當
values,值
nice,好
middle,中間
ok,還行
saturday,星期六
shown,顯示
christmas,耶誕節
tuesday,星期二
client,客戶
actually,實際上
lead,鉛
flash,閃光
band,樂隊
thursday,星期四
consumer,消費者
england,英國
ms,女士
registration,註冊
outside,外面
artist,藝術家
letter,信
channel,管道
fri,週五
courses,課程
levels,水準
furniture,傢俱
foreign,外國
phones,手機
ideas,想法
went,去
structure,結構
wednesday,星期三
hi,你好
culture,文化
airport,飛機場
choice,選擇
starting,開始
george,喬治
mode,模式
fund,基金
button,按鈕
summer,夏天
allow,允許
super,超
ltd,有限公司
cause,原因
wed,結婚
releases,釋放
custom,習慣
male,雄
located,位於
asian,亞裔
homes,家庭
almost,幾乎
virginia,佛吉尼亞州
distribution,分配
industrial,工業
inn,店
focus,重點
hp,惠普
song,歌
took,拿了
contract,合同
degree,度
matter,事
potential,潛在
los,洛杉磯
multiple,倍數
editor,編輯器
cnet,中網
inc,公司
tool,工具
purpose,目的
primary,主要
win,贏
responsible,負責
idea,想法
female,女性
featured,特色
voice,聲音
fall,秋天
browser,瀏覽器
late,晚
thomas,湯瑪斯
numbers,數位
reason,原因
associated,相關
rooms,房間
eg,例如
bed,床
answer,答
spring,春天
schedule,附表
feature,特徵
documents,檔
foundation,基礎
communications,通信
communication,通信
cancer,癌症
friendly,友好
ip,智慧財產權
operating,經營
police,員警
brown,棕色
approach,方法
everyone,每個人都
wanted,想
glass,玻璃
chicago,芝加哥
maps,地圖
tue,星期二
deal,交易
thank,謝謝
hold,拿
safe,安全
comes,來了
forms,形式
medicine,葯
cameras,相機
prior,事先
smith,史密斯
happy,快樂
unique,獨特
independent,獨立
telephone,電話
survey,調查
ratings,評級
hill,山
physical,物理的
developed,發達
pa,帕
option,選擇
understand,理解
sources,來源
regular,定期
ass,屁股
ready,準備
favorite,喜歡
simply,只是
evidence,證據
sport,運動
round,圓
therefore,因此
master,主人
sea,海
animal,動物
recently,最近
secure,安全
christian,基督教
population,人口
navigation,導航
station,站
valley,山谷
rentals,租金
mexico,墨西哥
operations,操作
feed,飼料
probably,可能
paypal,PayPal
thu,歸仁
publications,出版物
kitchen,廚房
accommodation,膳宿
connection,連接
larger,較大
earth,地球
improve,提高
parents,父母
publisher,發行人
introduction,介紹
networks,網路
built,建立
strong,強
anti,反
blood,血
owners,業主
wedding,婚禮
worldwide,全球
transfer,轉移
hall,大廳
tel,電話
ship,船
hospital,醫院
ground,地
cut,切
nokia,諾基亞
properties,性能
overview,概述
impact,衝擊
carolina,卡羅萊納州
wall,牆
perfect,完善
excellent,非常好
award,獎
extra,額外
kit,工具箱
peter,彼得
classic,經典
italy,義大利
distance,距離
william,威廉
paid,支付
tx,德克薩斯州
anal,肛門
ensure,確保
opportunity,機會
hair,毛
assessment,評估
express,表達
interface,介面
involved,涉及
basis,基礎
thus,因此
disease,疾病
ie,即
command,命令
tree,樹
el,埃爾
cities,城市
especially,特別是
partners,合作夥伴
boy,男孩
retail,零售
technologies,技術
quite,相當
ma,馬
rated,額定
budget,預算
pussy,貓
amazon,亞馬遜河
success,成功
operation,操作
patients,病人
vote,投票
maximum,最大
guides,指南
stars,星星
lists,清單
horse,馬
selected,選擇
beautiful,美麗
wine,酒
warning,警告
locations,地點
restaurants,餐館
significant,重要
flowers,花
forward,向前
owner,擁有者
existing,現存
rule,統治
searches,搜索
manufacturer,製造者
bring,帶
providing,提供
son,兒子
est,CS2
feet,腳
catalog,目錄
animals,動物
housing,住房
input,輸入
iii,第三
ways,方式
mac,蘋果電腦
strategy,策略
trying,嘗試
takes,需要
useful,有用
considered,考慮
told,告訴
max,。.max
mother,媽媽
joined,加入
authority,柄
xml,。.xml
programme,計劃
traffic,交通
directly,徑直
gmt,格林威治標準時間
bin,。.bin
valid,有效
grand,大
testing,測試
educational,教育
fitness,健康
agent,代理
sexy,性感
ireland,愛爾蘭
trial,試驗
teaching,教學
senior,前輩
door,門
modern,摩登
normal,正常
leading,主導
ships,船舶
cool,涼
canadian,加拿大的
units,單位
enterprise,企業
metal,金屬
instead,相反
entire,整個
charge,負責
fl,佛羅里達州
positive,陽性
chinese,中文
md,醫學博士
wrote,寫
resolution,解析度
trust,信任
pass,通過
seems,似乎
session,會期
greater,大
opinion,意見
processing,加工
output,輸出
responsibility,責任
alternative,另類
relations,關係
football,足球
likely,可能
abstract,抽象
artists,藝術家
mb,兆位元組
publication,出版
guest,客人
van,貨車
multi,多
contains,包含
uses,使用
mr,先生
photography,攝影
asia,亞洲
employees,員工
java,。.java
develop,發展
funds,基金
republic,共和國
consider,考慮
dating,約會
pop,流行
organizations,組織
components,元件
century,世紀
fees,費用
ads,廣告
assistance,援助
vacation,假期
indian,印度
graphics,圖形
mary,瑪麗
skin,皮膚
prev,昨日
mountain,山
mailing,郵件
expected,預期
vehicle,車輛
academic,學術
pacific,太平洋
filter,濾波器
int,國際
completed,完成
grade,年級
longer,長
ring,戒指
northern,北方
default,違約
partner,夥伴
otherwise,否則
plant,植物
protein,蛋白
authors,作者
proposed,提出
morning,上午
floor,地板
require,需要
deep,深
buying,買
pool,池
boards,板
boys,男孩
behind,後
reported,報導
panel,面板
hit,打
politics,政治
mm,毫米
mini,迷你
german,德語
disclaimer,免責聲明
allows,允許
match,火柴
iraq,伊拉克
rest,休息
transportation,運輸
outdoor,戶外的
eye,眼睛
mission,任務
detailed,詳細
parties,各方
target,目標
ability,能力
recommended,推薦
released,釋放
fish,魚
pack,包
string,字串
stage,階段
modified,改性
faculty,能力
membership,會員
internal,內部
goods,貨物
unless,除非
richard,理查
approved,批准
background,背景
usb,USB介面
maybe,或
born,出生
character,字元
race,比賽
japanese,日語
sense,意義
except,除了
maintenance,保養
ed,艾德
debt,債務
break,破
places,地方
medium,中等
purposes,目的
pretty,美
brands,品牌
pressure,壓力
functions,功能
battery,電池
youth,青年
spain,西班牙
winter,冬
trademarks,商標
yourself,你自己
etc,等
throughout,整個
boston,波士頓
television,電視
rape,強姦
phentermine,芬特明
core,核心
interested,感興趣
keywords,關鍵字
moving,移動
submitted,提交
php,。.php
southern,南部
incest,
sets,集
external,外部
virtual,虛擬
remote,遠端
rent,租金
awards,獎
playing,玩
msn,MSN
dance,跳舞
papers,檔
fee,費
studio,演播室
itself,本身
defined,定義
answers,答案
established,既定
reader,讀者
dark,黑暗
instructions,指示
theory,理論
wood,木
min,最小
programming,程式設計
enjoy,享受
offered,提供
le,樂
regarding,關於
apple,蘋果
device,裝置
las,拉斯
remove,刪除
minimum,最低
agents,代理
repair,修
finally,最後
beginning,開始
subjects,科目
teachers,教師
manual,手動
block,塊
surface,表面
martin,馬丁
increased,增加
variety,品種
aid,援助
visual,視覺
steel,鋼
isbn,國際標準書號
updates,更新
fair,公平
host,主機
understanding,理解
songs,歌曲
fixed,固定
desktop,桌面
az,亞利桑那州
hands,手
civil,民事
associates,同事
wrong,錯
classes,類
un,聯合國
paris,巴黎
fat,脂肪
driver,司機
father,爸爸
ohio,俄亥俄州
gets,得到
fully,完全地
requires,需要
capacity,能力
electric,電
quotes,引號
instruments,儀器
businesses,企業
respect,尊
mike,話筒
procedures,程式
worth,值得
trip,旅行
specified,指定
sector,扇形
saw,鋸
restaurant,餐廳
dead,死
mi,米
unknown,未知
officer,軍官
jersey,澤西
pst,太平洋標準時間
teacher,老師
showing,展示
sub,子
beyond,超越
poor,窮
farm,農場
relationship,關係
xxx,三十
peace,和平
workers,工人
traditional,傳統的
campus,校園
fucking,他媽的
tom,湯姆
coast,海岸
agree,同意
eyes,眼睛
progress,進展
devices,設備
benefit,效益
funding,資金
georgia,喬治亞
watches,手錶
hear,聽見
careers,職業
fiction,小說
lord,主
grant,授予
creative,創造性
sometimes,有時
led,發光二極體
former,前
ten,十
presented,提出
goes,去
agencies,機構
transport,運輸
blogs,博客
interesting,有趣
wife,老婆
th,千
flat,平
literature,文獻
flow,流
die,死
implementation,實現
themselves,他們自己
evaluation,評估
accepted,接受
hits,打
galleries,畫廊
families,家族
references,引用
fan,扇
cat,貓
museum,博物館
zone,區
jack,千斤頂
complex,複雜
respective,各自
parent,父母
australian,澳大利亞人
employee,員工
spanish,西班牙文
musical,音樂劇
monthly,每月
scale,規模
setting,設置
definition,定義
helpful,有益的
frame,框架
path,路徑
michigan,密歇根州
secretary,秘書
chief,首席
packages,包
bottom,底
kb,KB
dr,博士
critical,危急
detail,細節
economy,經濟
networking,聯網
highest,最高
stand,站
gives,給
angeles,洛杉磯
magazines,雜誌
francisco,弗朗西斯科
columbia,哥倫比亞
changed,改變
vol,卷
laws,法律
begin,開始
relevant,相關
heard,聽到
colorado,科羅拉多州
pet,寵物
russian,俄語
clean,乾淨
applied,應用的
basket,籃子
cup,杯子
african,非洲的
connect,連接
pp,PP
bible,聖經
dev,開發
titles,標題
individuals,個人
switch,開關
guidelines,指引
weekly,週刊
justice,正義
largest,最大
described,描述
guy,傢伙
demand,需求
installation,安裝
royal,皇家
lee,李
correct,正確
older,老
square,廣場
army,軍隊
auction,拍賣
skip,跳
nation,國家
selling,販賣
gear,齒輪
difference,差異
attention,注意力
species,物種
charles,查理斯
os,操作系統
diet,節食
suite,套房
lots,很多
chris,克裡斯
advance,進展
allowed,允許
firm,公司
elements,元素
na,那
seven,七
regulations,法規
illinois,伊利諾伊州
vegas,維加斯
piece,塊
sheet,表
coverage,覆蓋
resort,訴諸
visitors,遊客
actions,行動
jump,跳
module,模組
chance,機會
cells,細胞
trading,交易
forest,森林
random,隨機
facility,設備
looks,看起來
giving,給
certificate,證書
couple,夫婦
clients,客戶
monitor,監控
ending,結束
pricing,定價
motion,運動
documentation,文件
ball,球
vision,視覺
minister,部長
fashion,時尚
directions,方向
calls,調用
whose,誰的
dvds,影碟
lowest,最低
situation,情況
naked,裸體
discuss,討論
wind,風
lives,生活
milf,摩洛伊斯蘭解放陣線
publishing,出版
communities,社區
accept,接受
markets,市場
goal,目標
listen,聽
sold,出售
actual,實際
developing,發展
currency,貨幣
patient,病人
determine,確定
emergency,緊急
successful,成功的
sciences,科學
clinical,臨床
leather,皮革
automotive,汽車
appear,出現
highly,高度
announcements,公告
temperature,溫度
palm,手掌
scientific,科學的
commerce,商業
pain,疼痛
amateur,業餘
www,萬維網
persons,人
ringtones,鈴聲
tests,測試
historical,歷史的
satellite,衛星
fit,適合
particularly,特別
bob,鮑勃
accounts,帳戶
settings,設置
coffee,咖啡
stone,石頭
difficult,難
met,遇到
perhaps,也許
oral,口頭的
ex,前任
buyer,買方
factors,因素
cum,暨
easily,容易
village,村
cultural,文化
xbox,Xbox（極富）
steve,史蒂夫
edge,邊緣
ford,福特
root,根
closed,閉
monitoring,監測
shot,拍攝
llc,有限責任公司
poster,海報
league,聯盟
functional,功能的
au,非盟
replies,答覆
zealand,紐西蘭
initial,初
thinking,思維
holidays,假期
scott,斯科特
graduate,畢業
balance,平衡
architecture,建築
sec,秒
hardcore,硬核
canon,佳能
pink,粉紅色
ice,冰
label,標籤
recommend,推薦
waste,浪費
nc,數控
bus,總線
sections,部分
minute,分鐘
motor,發動機
continued,繼續
generally,一般
manufacturing,製造業
dictionary,字典
chair,椅子
provider,供應商
letters,函件
accounting,會計學
fantasy,幻想
install,安裝
po,寶
fishing,釣魚
phase,階段
cold,冷
apparel,服裝
professor,教授
bag,袋
optional,自選
effort,努力
context,上下文
foot,腳
crime,犯罪
shirt,襯衫
va,佛吉尼亞州
mass,品質
fields,領域
surgery,手術
task,任務
driving,駕駛
claim,索賠
count,計數
techniques,技術
wild,野生
heat,熱
websites,網站
rd,RD
patch,補丁
quickly,迅速
religion,宗教
breast,胸
sc,南卡羅來納州
permission,許可
brought,帶
johnson,約翰生
miss,思念
doctor,醫生
chemical,化學的
component,元件
reduce,減少
measures,措施
nor,也不
generation,代
kansas,堪薩斯州
dollars,美元
ibm,IBM公司
himself,他自己
flight,飛行
seconds,秒
fuel,燃料
se,硒
username,使用者名
paperback,平裝本
fuck,他媽的
exercise,鍛煉
enable,使
congress,國會
keyword,關鍵詞
soft,軟
diamond,鑽石
guarantee,保證
santa,聖誕老人
processes,過程
bug,錯誤
meetings,會議
alone,獨自
italian,義大利語
arizona,亞利桑那州
jones,鐘斯
leader,領導
produced,產生
classifieds,分類廣告
israel,以色列
servers,伺服器
walk,走
mid,。.mid
interests,利益
argument,論點
upgrade,升級
attorney,律師
di,地
characters,字元
wait,等
stream,流
factor,因素
saint,聖人
thousands,數以千計
pocket,口袋
providers,供應商
fresh,新鮮
drugs,藥物
apartments,公寓
joint,關節
jim,吉姆
creating,創建
premium,獎賞
supported,支援
rose,玫
growing,增長
competition,競爭
therapy,療法
freedom,自由
eastern,東部
km,公里
auctions,拍賣
hearing,聽到
pick,摘
del,戴爾
errors,錯誤
dates,日期
informed,知情
ga,加語
sorted,排序
generated,生成
upper,上
serious,嚴重
samsung,三星
administrative,行政
prime,主要
began,開始
signed,簽署
entries,條目
steps,步驟
louis,路易士
shops,商店
bondage,束縛
efforts,努力
limit,限制
thoughts,思潮
urban,都市的
reporting,報告
practices,實踐
creek,溪
ft,英尺
quantity,數量
worked,工作
ac,交流
designated,特定
covered,覆蓋
integrated,綜合
merchant,商人
admin,管理
immediately,馬上
labor,勞動
nursing,護理
load,負荷
defense,防禦
myself,本人
tags,標籤
tours,旅遊
platform,平臺
machines,機器
essential,基本
heavy,重
cock,公雞
cds,光碟
protect,保護
comprehensive,全面
expert,專家
affiliate,聯盟
configuration,配置
recovery,恢復
joe,喬
guys,人
solid,固體
universal,普遍
drop,落
im,我
languages,語言
became,成為
presentation,介紹
marine,海產的
rich,富
improvement,起色
orange,橙
compliance,合規
challenge,挑戰
theme,主題
pennsylvania,賓夕法尼亞州
examples,例子
campaign,運動
strategies,策略
finding,發現
vehicles,車輛
claims,索賠
guitar,吉他
spirit,精神
ar,阿
vs,與
prevent,防止
seem,似乎
mo,莫
porno,色情
ipod,蘋果硬碟
acceptance,接受
motorola,摩托羅拉
saying,諺語
election,選舉
intended,打算
smart,聰明
mount,安裝
xp,經驗值
multimedia,多媒體
towards,對
sa,南非
manage,管理
hire,雇
goals,目標
touch,觸摸
branch,分支
gave,給
charges,收費
suggest,建議
affiliates,子公司
magic,魔法
serve,服務
reasons,原因
talking,說話
corner,角落
latin,拉丁語
tits,山雀
certified,認證
rank,排
computing,計算機科學
ones,的
avoid,避免
affairs,事務
abuse,虐待
separate,分開
quarter,季度
column,列
interactive,互動
requests,請求
procedure,程式
element,元素
virus,病毒
oregon,俄勒岡州
racing,競速
died,死
tables,表
chain,鏈
faith,信仰
leadership,領導
facts,事實
missing,失蹤
plants,植物
breakfast,早餐
domestic,國內
sitemap,網站地圖
identify,識別
religious,宗教
define,定義
approximately,大約
birth,出生
avenue,大道
developer,開發人員
kong,崗
recommendations,建議
reach,達到
opening,開放
placed,放置
cvs,簡歷
extended,擴展
sequence,序列
houston,休斯頓
plastic,塑膠
reserve,儲備
moment,時刻
mental,心理
